N = 100000

n  prob        alpha used  beta used
115  0.438912    0.749058    0.660140
116  0.445194    0.744853    0.664877
117  0.451485    0.740618    0.669588
118  0.457783    0.736354    0.674272
119  0.464088    0.732060    0.678929
120  0.470399    0.727737    0.683559
121  0.476715    0.723384    0.688162
122  0.483035    0.719003    0.692737
123  0.489357    0.714593    0.697284
124  0.495681    0.710154    0.701804
125  0.502005    0.705687    0.706295
126  0.508330    0.701192    0.710758
127  0.514652    0.696669    0.715193
128  0.520973    0.692118    0.719599
129  0.527290    0.687539    0.723977
130  0.533603    0.682933    0.728325
131  0.539911    0.678299    0.732644
132  0.546212    0.673638    0.736934
133  0.552505    0.668950    0.741195
134  0.558791    0.664236    0.745425
135  0.565066    0.659495    0.749626
136  0.571332    0.654727    0.753797
137  0.577586    0.649934    0.757938
138  0.583828    0.645114    0.762049
139  0.590056    0.640269    0.766129
140  0.596270    0.635398    0.770178
141  0.602468    0.630501    0.774197
142  0.608650    0.625580    0.778185
143  0.614815    0.620633    0.782141
144  0.620961    0.615661    0.786066
145  0.627088    0.610665    0.789960
146  0.633195    0.605645    0.793822
147  0.639280    0.600600    0.797653
148  0.645343    0.595531    0.801451
149  0.651382    0.590438    0.805218
150  0.657398    0.585322    0.808952
151  0.663388    0.580182    0.812654
152  0.669352    0.575020    0.816323
153  0.675290    0.569834    0.819960
154  0.681199    0.564625    0.823564
155  0.687079    0.559394    0.827135
156  0.692929    0.554140    0.830673
157  0.698748    0.548864    0.834178
158  0.704535    0.543567    0.837649
159  0.710290    0.538247    0.841087
160  0.716011    0.532906    0.844491
161  0.721698    0.527544    0.847861
162  0.727349    0.522160    0.851198
163  0.732963    0.516756    0.854500
164  0.738541    0.511331    0.857768
165  0.744080    0.505885    0.861002
166  0.749580    0.500420    0.864202
167  0.755040    0.494934    0.867367
168  0.760460    0.489429    0.870497
169  0.765837    0.483903    0.873592
170  0.771173    0.478359    0.876653
171  0.776464    0.472795    0.879678
172  0.781712    0.467213    0.882669
173  0.786915    0.461612    0.885623
174  0.792071    0.455992    0.888543
175  0.797181    0.450354    0.891427
176  0.802243    0.444698    0.894275
177  0.807257    0.439025    0.897088
178  0.812222    0.433333    0.899864
179  0.817137    0.427625    0.902605
180  0.822001    0.421899    0.905310
181  0.826814    0.416157    0.907978
182  0.831574    0.410397    0.910610
183  0.836281    0.404622    0.913205
184  0.840935    0.398830    0.915765
185  0.845533    0.393022    0.918287
186  0.850077    0.387199    0.920773
187  0.854565    0.381360    0.923221
188  0.858996    0.375506    0.925633
189  0.863369    0.369636    0.928008
190  0.867684    0.363752    0.930346
191  0.871941    0.357854    0.932647
192  0.876138    0.351941    0.934910
193  0.880274    0.346014    0.937136
194  0.884350    0.340073    0.939324
195  0.888365    0.334119    0.941475
196  0.892317    0.328151    0.943588
197  0.896206    0.322170    0.945664
198  0.900033    0.316176    0.947701
199  0.903795    0.310170    0.949701
200  0.907492    0.304151    0.951663
201  0.911124    0.298120    0.953586
202  0.914691    0.292077    0.955472
203  0.918191    0.286022    0.957319
204  0.921624    0.279956    0.959128
205  0.924990    0.273879    0.960898
206  0.928288    0.267791    0.962631
207  0.931517    0.261692    0.964324
208  0.934678    0.255583    0.965979
209  0.937768    0.249463    0.967596
210  0.940789    0.243333    0.969174
211  0.943739    0.237194    0.970713
212  0.946618    0.231045    0.972213
213  0.949426    0.224887    0.973674
214  0.952162    0.218720    0.975096
215  0.954825    0.212544    0.976480
216  0.957416    0.206360    0.977824
217  0.959933    0.200167    0.979129
218  0.962377    0.193967    0.980395
219  0.964747    0.187759    0.981622
220  0.967042    0.181543    0.982809
221  0.969263    0.175320    0.983957
222  0.971409    0.169090    0.985066
223  0.973479    0.162853    0.986136
224  0.975474    0.156609    0.987166
225  0.977392    0.150360    0.988156
226  0.979234    0.144104    0.989107
227  0.980999    0.137843    0.990018
228  0.982688    0.131576    0.990890
229  0.984299    0.125303    0.991722
230  0.985833    0.119026    0.992515
231  0.987289    0.112744    0.993268
232  0.988667    0.106458    0.993981
233  0.989967    0.100167    0.994654
234  0.991188    0.093872    0.995287
235  0.992331    0.087574    0.995881
236  0.993395    0.081272    0.996435
237  0.994380    0.074966    0.996949
238  0.995286    0.068658    0.997423
239  0.996113    0.062347    0.997857
240  0.996860    0.056034    0.998252
241  0.997528    0.049718    0.998606
242  0.998116    0.043400    0.998921
243  0.998625    0.037081    0.999195
244  0.999054    0.030760    0.999430
245  0.999403    0.024438    0.999624
246  0.999672    0.018115    0.999779
247  0.999861    0.011791    0.999893
248  0.999970    0.005466    0.999968
249  0.999999    -0.000858    1.000002
250  0.999948    -0.007183    0.999997
251  0.999818    -0.013507    0.999951
252  0.999607    -0.019831    0.999866
253  0.999316    -0.026154    0.999741
254  0.998945    -0.032476    0.999575
255  0.998495    -0.038796    0.999370
256  0.997965    -0.045115    0.999124
257  0.997355    -0.051432    0.998839
258  0.996665    -0.057748    0.998514
259  0.995896    -0.064060    0.998149
260  0.995048    -0.070371    0.997743
261  0.994120    -0.076678    0.997298
262  0.993114    -0.082983    0.996813
263  0.992028    -0.089284    0.996289
264  0.990864    -0.095581    0.995724
265  0.989622    -0.101875    0.995119
266  0.988300    -0.108164    0.994475
267  0.986901    -0.114450    0.993791
268  0.985424    -0.120730    0.993067
269  0.983869    -0.127006    0.992304
270  0.982237    -0.133277    0.991500
271  0.980528    -0.139543    0.990657
272  0.978742    -0.145802    0.989775
273  0.976879    -0.152057    0.988853
274  0.974940    -0.158304    0.987891
275  0.972925    -0.164546    0.986890
276  0.970834    -0.170781    0.985849
277  0.968668    -0.177009    0.984769
278  0.966427    -0.183231    0.983650
279  0.964111    -0.189444    0.982491
280  0.961721    -0.195651    0.981293
281  0.959257    -0.201849    0.980055
282  0.956720    -0.208039    0.978779
283  0.954109    -0.214221    0.977463
284  0.951426    -0.220395    0.976108
285  0.948671    -0.226559    0.974714
286  0.945844    -0.232715    0.973281
287  0.942945    -0.238861    0.971809
288  0.939976    -0.244998    0.970299
289  0.936936    -0.251125    0.968749
290  0.933827    -0.257242    0.967161
291  0.930648    -0.263348    0.965534
292  0.927400    -0.269444    0.963868
293  0.924083    -0.275530    0.962164
294  0.920699    -0.281604    0.960422
295  0.917248    -0.287667    0.958641
296  0.913730    -0.293718    0.956821
297  0.910145    -0.299758    0.954964
298  0.906495    -0.305786    0.953068
299  0.902780    -0.311801    0.951134
300  0.899000    -0.317804    0.949162
