N = 100000

n  prob        alpha used  beta used
1  0.000000    1.000000    0.000000
2  0.000080    0.999960    0.006325
3  0.000240    0.999880    0.012649
4  0.000480    0.999760    0.018973
5  0.000800    0.999600    0.025296
6  0.001200    0.999400    0.031618
7  0.001679    0.999160    0.037938
8  0.002238    0.998880    0.044258
9  0.002877    0.998560    0.050575
10  0.003596    0.998201    0.056891
11  0.004394    0.997801    0.063204
12  0.005271    0.997361    0.069514
13  0.006227    0.996882    0.075822
14  0.007262    0.996362    0.082127
15  0.008377    0.995803    0.088429
16  0.009569    0.995204    0.094727
17  0.010841    0.994565    0.101021
18  0.012190    0.993886    0.107311
19  0.013618    0.993168    0.113597
20  0.015123    0.992410    0.119878
21  0.016706    0.991612    0.126155
22  0.018367    0.990774    0.132426
23  0.020104    0.989897    0.138693
24  0.021918    0.988980    0.144953
25  0.023809    0.988024    0.151208
26  0.025776    0.987028    0.157457
27  0.027818    0.985993    0.163699
28  0.029937    0.984918    0.169935
29  0.032130    0.983804    0.176165
30  0.034398    0.982650    0.182387
31  0.036741    0.981457    0.188602
32  0.039158    0.980225    0.194809
33  0.041649    0.978954    0.201008
34  0.044213    0.977644    0.207200
35  0.046850    0.976294    0.213383
36  0.049559    0.974905    0.219558
37  0.052341    0.973478    0.225723
38  0.055194    0.972011    0.231880
39  0.058118    0.970506    0.238028
40  0.061113    0.968962    0.244166
41  0.064178    0.967379    0.250294
42  0.067313    0.965757    0.256412
43  0.070518    0.964097    0.262520
44  0.073790    0.962398    0.268618
45  0.077132    0.960660    0.274704
46  0.080540    0.958885    0.280780
47  0.084016    0.957070    0.286845
48  0.087559    0.955218    0.292898
49  0.091167    0.953327    0.298939
50  0.094841    0.951399    0.304968
51  0.098579    0.949432    0.310986
52  0.102382    0.947427    0.316990
53  0.106249    0.945384    0.322982
54  0.110178    0.943304    0.328962
55  0.114170    0.941185    0.334928
56  0.118224    0.939029    0.340880
57  0.122338    0.936836    0.346819
58  0.126513    0.934605    0.352744
59  0.130748    0.932337    0.358655
60  0.135042    0.930031    0.364552
61  0.139395    0.927688    0.370434
62  0.143805    0.925308    0.376301
63  0.148272    0.922891    0.382153
64  0.152795    0.920437    0.387990
65  0.157374    0.917947    0.393811
66  0.162007    0.915419    0.399617
67  0.166695    0.912855    0.405407
68  0.171436    0.910255    0.411180
69  0.176230    0.907618    0.416937
70  0.181075    0.904945    0.422677
71  0.185972    0.902235    0.428401
72  0.190918    0.899490    0.434107
73  0.195914    0.896708    0.439796
74  0.200959    0.893891    0.445467
75  0.206052    0.891038    0.451120
76  0.211192    0.888149    0.456756
77  0.216377    0.885225    0.462373
78  0.221609    0.882265    0.467972
79  0.226885    0.879270    0.473552
80  0.232204    0.876240    0.479113
81  0.237566    0.873174    0.484654
82  0.242971    0.870074    0.490177
83  0.248416    0.866939    0.495680
84  0.253902    0.863770    0.501163
85  0.259427    0.860566    0.506626
86  0.264991    0.857327    0.512068
87  0.270592    0.854054    0.517491
88  0.276230    0.850747    0.522892
89  0.281903    0.847406    0.528273
90  0.287612    0.844031    0.533632
91  0.293354    0.840622    0.538970
92  0.299130    0.837180    0.544287
93  0.304938    0.833704    0.549582
94  0.310777    0.830195    0.554854
95  0.316646    0.826652    0.560105
96  0.322545    0.823077    0.565333
97  0.328472    0.819468    0.570539
98  0.334426    0.815827    0.575722
99  0.340407    0.812153    0.580881
100  0.346413    0.808447    0.586018
101  0.352444    0.804708    0.591131
102  0.358499    0.800938    0.596220
103  0.364576    0.797135    0.601286
104  0.370675    0.793300    0.606327
105  0.376795    0.789434    0.611345
106  0.382934    0.785535    0.616338
107  0.389092    0.781606    0.621306
108  0.395268    0.777645    0.626249
109  0.401460    0.773653    0.631167
110  0.407669    0.769631    0.636060
111  0.413892    0.765577    0.640928
112  0.420129    0.761493    0.645770
113  0.426378    0.757378    0.650586
114  0.432640    0.753233    0.655376
