N = 10000

n  prob        alpha used  beta used
180  0.187915    -0.901158    -0.424573
181  0.203790    -0.892306    -0.442596
182  0.220140    -0.883097    -0.460442
183  0.236937    -0.873535    -0.478104
184  0.254155    -0.863623    -0.495575
185  0.271766    -0.853367    -0.512848
186  0.289742    -0.842768    -0.529915
187  0.308054    -0.831833    -0.546770
188  0.326674    -0.820565    -0.563407
189  0.345570    -0.808968    -0.579818
190  0.364714    -0.797048    -0.595998
191  0.384074    -0.784810    -0.611939
192  0.403619    -0.772257    -0.627635
193  0.423319    -0.759395    -0.643080
194  0.443141    -0.746230    -0.658268
195  0.463054    -0.732766    -0.673192
196  0.483026    -0.719009    -0.687848
197  0.503025    -0.704965    -0.702228
198  0.523019    -0.690638    -0.716327
199  0.542976    -0.676035    -0.730140
200  0.562865    -0.661162    -0.743661
201  0.582653    -0.646024    -0.756884
202  0.602308    -0.630628    -0.769804
203  0.621800    -0.614980    -0.782417
204  0.641096    -0.599086    -0.794717
205  0.660167    -0.582952    -0.806698
206  0.678982    -0.566584    -0.818357
207  0.697510    -0.549991    -0.829689
208  0.715722    -0.533177    -0.840689
209  0.733589    -0.516150    -0.851352
210  0.751082    -0.498916    -0.861675
211  0.768174    -0.481483    -0.871654
212  0.784836    -0.463858    -0.881283
213  0.801043    -0.446046    -0.890560
214  0.816767    -0.428057    -0.899481
215  0.831985    -0.409896    -0.908043
216  0.846672    -0.391571    -0.916240
217  0.860804    -0.373090    -0.924072
218  0.874359    -0.354459    -0.931534
219  0.887315    -0.335687    -0.938623
220  0.899651    -0.316780    -0.945337
221  0.911347    -0.297746    -0.951672
222  0.922385    -0.278594    -0.957627
223  0.932748    -0.259330    -0.963199
224  0.942418    -0.239962    -0.968386
225  0.951380    -0.220498    -0.973185
226  0.959620    -0.200947    -0.977595
227  0.967125    -0.181314    -0.981614
228  0.973882    -0.161609    -0.985240
229  0.979881    -0.141840    -0.988472
230  0.985113    -0.122014    -0.991309
231  0.989568    -0.102139    -0.993749
232  0.993239    -0.082223    -0.995792
233  0.996122    -0.062274    -0.997437
234  0.998211    -0.042301    -0.998682
235  0.999502    -0.022310    -0.999528
236  0.999995    -0.002311    -0.999974
237  0.999687    0.017690    -1.000020
238  0.998580    0.037683    -0.999667
239  0.996675    0.057661    -0.998913
