N = 1000

n  prob        alpha used  beta used
1  0.000000    1.000000    0.000000
2  0.007984    0.996000    0.063246
3  0.023824    0.988016    0.126238
4  0.047268    0.976080    0.188726
5  0.077940    0.960240    0.250458
6  0.115350    0.940558    0.311189
7  0.158901    0.917115    0.370675
8  0.207895    0.890003    0.428679
9  0.261551    0.859331    0.484968
10  0.319010    0.825221    0.539316
11  0.379354    0.787811    0.591508
12  0.441618    0.747249    0.641334
13  0.504808    0.703699    0.688594
14  0.567912    0.657334    0.733100
15  0.629924    0.608339    0.774673
16  0.689850    0.556911    0.813148
17  0.746734    0.503255    0.848370
18  0.799666    0.447587    0.880199
19  0.847800    0.390128    0.908506
20  0.890367    0.331108    0.933180
21  0.926687    0.270764    0.954121
22  0.956178    0.209337    0.971246
23  0.978370    0.147073    0.984486
24  0.992907    0.084220    0.993787
25  0.999558    0.021031    0.999114
26  0.998216    -0.042243    1.000444
27  0.988902    -0.105347    0.997772
28  0.971766    -0.168031    0.991110
29  0.947081    -0.230042    0.980482
30  0.915242    -0.291133    0.965933
31  0.876757    -0.351059    0.947520
32  0.832243    -0.409582    0.925318
33  0.782410    -0.466465    0.899413
34  0.728055    -0.521483    0.869911
35  0.670047    -0.574416    0.836930
36  0.609312    -0.625050    0.800601
37  0.546823    -0.673184    0.761069
38  0.483577    -0.718626    0.718493
39  0.420586    -0.761193    0.673043
40  0.358856    -0.800715    0.624901
41  0.299374    -0.837034    0.574260
42  0.243090    -0.870006    0.521321
43  0.190906    -0.899497    0.466297
44  0.143653    -0.925390    0.409408
45  0.102089    -0.947582    0.350881
46  0.066877    -0.965983    0.290951
47  0.038580    -0.980520    0.229856
48  0.017650    -0.991136    0.167843
49  0.004422    -0.997786    0.105158
50  -0.000892    -1.000446    0.042052
51  0.001791    -0.999104    -0.021221
52  0.012430    -0.993765    -0.084410
53  0.030855    -0.984452    -0.147261
54  0.056770    -0.971200    -0.209524
55  0.089762    -0.954064    -0.270948
56  0.129303    -0.933112    -0.331288
57  0.174761    -0.908427    -0.390303
58  0.225410    -0.880108    -0.447757
59  0.280440    -0.848269    -0.503420
60  0.338971    -0.813037    -0.557069
61  0.400069    -0.774552    -0.608490
62  0.462755    -0.732970    -0.657477
63  0.526029    -0.688456    -0.703834
64  0.588879    -0.641187    -0.747376
65  0.650300    -0.591354    -0.787928
66  0.709311    -0.539156    -0.825329
67  0.764968    -0.484801    -0.859428
68  0.816382    -0.428507    -0.890090
69  0.862731    -0.370499    -0.917191
70  0.903274    -0.311008    -0.940623
71  0.937363    -0.250274    -0.960293
72  0.964453    -0.188539    -0.976122
73  0.984112    -0.126049    -0.988046
74  0.996024    -0.063055    -0.996018
75  1.000000    0.000190    -1.000006
76  0.995976    0.063436    -0.999994
77  0.984016    0.126427    -0.995982
78  0.964312    0.188913    -0.987986
79  0.937178    0.250643    -0.976038
80  0.903048    0.311370    -0.960186
81  0.862469    0.370852    -0.940493
82  0.816087    0.428851    -0.917038
83  0.764645    0.485134    -0.889916
84  0.708965    0.539477    -0.859233
85  0.649937    0.591662    -0.825113
86  0.588504    0.641480    -0.787694
87  0.525648    0.688732    -0.747123
88  0.462375    0.733229    -0.703564
89  0.399695    0.774794    -0.657190
90  0.338610    0.813259    -0.608188
91  0.280097    0.848471    -0.556753
92  0.225091    0.880289    -0.503091
93  0.174471    0.908586    -0.447416
94  0.129046    0.933249    -0.389952
95  0.089543    0.954179    -0.330929
96  0.056592    0.971292    -0.270581
97  0.030721    0.984520    -0.209151
98  0.012343    0.993809    -0.146885
99  0.001751    0.999124    -0.084031
100  -0.000884    1.000442    -0.020840
101  0.004478    0.997758    0.042433
102  0.017753    0.991084    0.105537
103  0.038728    0.980445    0.168218
104  0.067069    0.965884    0.230227
105  0.102321    0.947459    0.291315
106  0.143922    0.925245    0.351238
107  0.191206    0.899330    0.409755
108  0.243418    0.869817    0.466634
109  0.299723    0.836826    0.521646
110  0.359221    0.800486    0.574572
