N = 1000

n  prob        alpha used  beta used
111  0.420962    0.760945    0.625199
112  0.483958    0.718361    0.673325
113  0.547202    0.672902    0.718758
114  0.609684    0.624752    0.761316
115  0.670405    0.574104    0.800829
116  0.728394    0.521158    0.837139
117  0.782724    0.466128    0.870100
118  0.832528    0.409234    0.899580
119  0.877008    0.350703    0.925462
120  0.915454    0.290768    0.947643
121  0.947251    0.229671    0.966033
122  0.971892    0.167655    0.980558
123  0.988982    0.104969    0.991162
124  0.998248    0.041862    0.997800
125  0.999542    -0.021412    1.000448
126  0.992843    -0.084600    0.999094
127  0.978259    -0.147450    0.993743
128  0.956022    -0.209710    0.984418
129  0.926488    -0.271131    0.971155
130  0.890129    -0.331468    0.954007
131  0.847526    -0.390479    0.933043
132  0.799361    -0.447927    0.908347
133  0.746402    -0.503585    0.880017
134  0.689497    -0.557228    0.848168
135  0.629556    -0.608641    0.812926
136  0.567535    -0.657621    0.774432
137  0.504427    -0.703970    0.732840
138  0.441240    -0.747503    0.688317
139  0.378984    -0.788046    0.641041
140  0.318655    -0.825437    0.591201
141  0.261216    -0.859526    0.538996
142  0.207586    -0.890177    0.484634
143  0.158622    -0.917267    0.428335
144  0.115106    -0.940688    0.370322
145  0.077735    -0.960346    0.310827
146  0.047105    -0.976164    0.250090
147  0.023706    -0.988076    0.188352
148  0.007912    -0.996036    0.125860
149  -0.000024    -1.000012    0.062865
150  0.000024    -0.999988    -0.000381
151  0.008056    -0.995964    -0.063626
152  0.023943    -0.987956    -0.126616
153  0.047431    -0.975996    -0.189100
154  0.078146    -0.960132    -0.250827
155  0.115595    -0.940428    -0.311551
156  0.159180    -0.916962    -0.371029
157  0.208205    -0.889829    -0.429023
158  0.261886    -0.859135    -0.485301
159  0.319366    -0.825006    -0.539637
160  0.379724    -0.787576    -0.591815
161  0.441997    -0.746996    -0.641626
162  0.505189    -0.703428    -0.688870
163  0.568290    -0.657046    -0.733359
164  0.630292    -0.608037    -0.774914
165  0.690203    -0.556595    -0.813370
166  0.747065    -0.502926    -0.848572
167  0.799971    -0.447246    -0.880380
168  0.848074    -0.389777    -0.908666
169  0.890605    -0.330749    -0.933318
170  0.926885    -0.270398    -0.954236
171  0.956334    -0.208965    -0.971337
172  0.978480    -0.146696    -0.984554
173  0.992971    -0.083841    -0.993831
174  0.999574    -0.020650    -0.999134
175  0.998183    0.042623    -1.000440
176  0.988822    0.105726    -0.997744
177  0.971639    0.168406    -0.991058
178  0.946910    0.230413    -0.980407
179  0.915029    0.291497    -0.965834
180  0.876507    0.351416    -0.947398
181  0.831958    0.409929    -0.925173
182  0.782095    0.466802    -0.899246
183  0.727716    0.521809    -0.869723
184  0.669688    0.574727    -0.836721
185  0.608941    0.625347    -0.800372
186  0.546444    0.673466    -0.760822
187  0.483196    0.718891    -0.718228
188  0.420209    0.761440    -0.672761
189  0.358490    0.800943    -0.624604
190  0.299024    0.837243    -0.573948
191  0.242763    0.870194    -0.520996
192  0.190606    0.899664    -0.465960
193  0.143385    0.925535    -0.409060
194  0.101857    0.947704    -0.350524
195  0.066685    0.966082    -0.290586
196  0.038431    0.980596    -0.229486
197  0.017547    0.991188    -0.167467
198  0.004366    0.997814    -0.104779
199  -0.000900    1.000450    -0.041672
200  0.001832    0.999084    0.021602
201  0.012518    0.993721    0.084790
202  0.030989    0.984384    0.147638
203  0.056948    0.971109    0.209896
204  0.089981    0.953949    0.271314
205  0.129559    0.932974    0.331647
206  0.175051    0.908267    0.390654
207  0.225729    0.879927    0.448098
208  0.280783    0.848067    0.503749
209  0.339332    0.812815    0.557386
210  0.400442    0.774311    0.608793
211  0.463135    0.732711    0.657764
212  0.526410    0.688179    0.704105
213  0.589254    0.640895    0.747629
214  0.650663    0.591047    0.788163
215  0.709657    0.538835    0.825544
216  0.765291    0.484468    0.859623
217  0.816677    0.428162    0.890264
218  0.862993    0.370145    0.917343
219  0.903499    0.310646    0.940753
220  0.937547    0.249905    0.960400
221  0.964594    0.188165    0.976205
222  0.984207    0.125671    0.988106
223  0.996072    0.062675    0.996054
224  1.000000    -0.000571    1.000018
225  0.995928    -0.063816    0.999982
226  0.983920    -0.126805    0.995946
227  0.964170    -0.189287    0.987926
228  0.936993    -0.251012    0.975954
229  0.902823    -0.311732    0.960079
230  0.862206    -0.371206    0.940363
231  0.815792    -0.429195    0.916886
232  0.764321    -0.485467    0.889741
233  0.708618    -0.539798    0.859038
234  0.649573    -0.591969    0.824898
235  0.588129    -0.641772    0.787459
236  0.525268    -0.689008    0.746869
237  0.461995    -0.733488    0.703293
238  0.399322    -0.775035    0.656903
239  0.338249    -0.813481    0.607885
240  0.279755    -0.848673    0.556436
241  0.224772    -0.880470    0.502761
242  0.174181    -0.908746    0.447076
243  0.128790    -0.933386    0.389602
244  0.089324    -0.954293    0.330569
245  0.056415    -0.971383    0.270214
246  0.030588    -0.984587    0.208779
247  0.012256    -0.993853    0.146508
248  0.001711    -0.999144    0.083651
249  -0.000876    -1.000438    0.020460
250  0.004535    -0.997730    -0.042814
251  0.017857    -0.991031    -0.105916
252  0.038877    -0.980369    -0.168594
253  0.067261    -0.965784    -0.230598
254  0.102553    -0.947337    -0.291680
255  0.144190    -0.925100    -0.351594
256  0.191506    -0.899163    -0.410103
257  0.243745    -0.869629    -0.466971
258  0.300072    -0.836617    -0.521971
259  0.359587    -0.800258    -0.574883
260  0.421338    -0.760698    -0.625496
261  0.484339    -0.718095    -0.673607
262  0.547582    -0.672620    -0.719023
263  0.610056    -0.624455    -0.761563
264  0.670763    -0.573792    -0.801057
265  0.728733    -0.520833    -0.837347
266  0.783039    -0.465791    -0.870288
267  0.832812    -0.408886    -0.899747
268  0.877258    -0.350346    -0.925607
269  0.915666    -0.290404    -0.947765
270  0.947421    -0.229300    -0.966132
271  0.972018    -0.167280    -0.980634
272  0.989061    -0.104590    -0.991214
273  0.998279    -0.041482    -0.997828
274  0.999525    0.021793    -1.000452
275  0.992778    0.084980    -0.999074
276  0.978147    0.147827    -0.993699
277  0.955865    0.210082    -0.984350
278  0.926289    0.271498    -0.971063
279  0.889891    0.331827    -0.953892
280  0.847252    0.390829    -0.932905
281  0.799056    0.448268    -0.908187
282  0.746071    0.503914    -0.879836
283  0.689145    0.557544    -0.847966
284  0.629187    0.608944    -0.812704
285  0.567157    0.657908    -0.774191
286  0.504046    0.704240    -0.732581
287  0.440861    0.747756    -0.688041
288  0.378614    0.788280    -0.640749
289  0.318299    0.825652    -0.590893
290  0.260881    0.859721    -0.538675
291  0.207276    0.890350    -0.484301
292  0.158343    0.917419    -0.427990
293  0.114862    0.940818    -0.369968
294  0.077530    0.960453    -0.310465
295  0.046942    0.976247    -0.249721
296  0.023588    0.988136    -0.187977
297  0.007841    0.996072    -0.125482
298  -0.000048    1.000024    -0.062485
299  0.000049    0.999976    0.000762
300  0.008128    0.995928    0.064006
